fecha,dia,nuevos,muertes,recuperados,muertes acumuladas,recuperaciones acumuladas,casos acumulados,uci,tests
2020-03-06,0,1,0,0,0,0,1,0,-1
2020-03-09,3,2,0,0,0,0,3,0,-1
2020-03-11,5,6,0,0,0,0,9,0,-1
2020-03-12,6,5,0,0,0,0,14,0,-1
2020-03-13,7,5,0,1,0,1,19,0,-1
2020-03-14,8,18,0,1,0,2,37,0,-1
2020-03-15,9,16,0,1,0,3,53,0,-1
2020-03-16,10,14,1,0,1,3,67,0,-1
2020-03-17,11,25,0,1,1,4,92,0,-1
2020-03-18,12,12,0,1,1,5,104,0,-1
2020-03-19,13,26,0,1,1,6,130,0,-1
2020-03-20,14,48,0,2,1,8,178,0,-1
2020-03-21,15,34,0,4,1,12,212,0,-1
2020-03-22,16,29,1,3,2,15,241,0,-1
2020-03-23,17,73,1,9,3,24,314,0,-1
2020-03-24,18,105,1,11,4,35,419,0,-1
2020-03-25,19,61,4,13,8,48,480,0,-1
2020-03-26,20,10,2,17,10,65,490,0,-1
2020-03-27,21,49,3,18,13,83,539,23,-1
2020-03-28,22,69,5,32,18,115,608,27,-1
2020-03-29,23,94,1,29,19,144,702,29,-1
2020-03-30,24,96,5,36,24,180,798,31,-1
2020-03-31,25,107,5,29,29,209,905,35,-1
2020-04-01,26,160,4,33,33,242,1065,47,-1
2020-04-02,27,96,6,33,39,275,1161,50,-1
2020-04-03,28,105,13,37,52,312,1266,54,-1
2020-04-04,29,140,15,41,67,353,1406,57,-1
2020-04-05,30,79,8,22,75,375,1485,63,-1
2020-04-06,31,94,12,26,87,401,1579,76,-1
2020-04-07,32,129,8,26,95,427,1708,76,-1
2020-04-08,33,346,4,44,99,471,2054,85,-1
2020-04-09,34,169,12,45,111,516,2223,84,-1
2020-04-10,35,251,5,50,116,566,2474,86,-1
2020-04-11,36,235,8,54,124,620,2709,92,-1
2020-04-12,37,67,12,95,136,715,2776,103,-1
2020-04-13,38,76,7,98,143,813,2852,106,-1
2020-04-14,39,126,11,81,154,894,2978,103,-1
2020-04-15,40,125,12,99,166,993,3103,98,-1
2020-04-16,41,128,16,75,182,1068,3231,105,-1
2020-04-17,42,205,4,52,186,1120,3436,112,-1
2020-04-18,43,183,12,56,198,1176,3619,-1,-1
2020-04-19,44,174,9,75,207,1251,3793,100,-1
2020-04-20,45,182,9,84,216,1335,3975,95,-1
2020-04-21,46,171,9,86,225,1421,4146,108,-1
2020-04-22,47,193,8,88,233,1509,4339,102,-1
2020-04-23,48,194,9,103,242,1612,4533,119,-1
2020-04-23,48,194,9,103,242,1612,4533,0,-1
2020-04-24,49,304,14,90,256,1702,4837,117,-1
2020-04-25,50,261,9,103,265,1805,5098,118,-1
2020-04-26,51,237,18,79,283,1884,5335,116,-1
2020-04-27,52,218,11,84,294,1968,5553,-1,-1
2020-04-28,53,354,11,101,305,2069,5907,115,-1
2020-04-29,54,261,19,129,324,2198,6168,-1,-1
2020-04-30,55,296,21,62,345,2260,6464,-1,-1
2020-05-01,56,500,11,112,356,2372,6964,120,-1
2020-05-02,57,277,19,121,375,2493,7241,122,-1
2020-05-03,58,423,18,97,393,2590,7664,122,-1
2020-05-04,59,307,20,139,413,2729,7971,120,-1
2020-05-05,60,641,15,298,428,3027,8612,126,-1
2020-05-06,61,347,23,220,451,3247,8959,123,-1
2020-05-07,62,497,25,157,476,3404,9456,129,-1
2020-05-08,63,595,17,157,493,3561,10051,130,-1
2020-05-09,64,444,16,196,509,3757,10495,128,-1
2020-05-10,65,568,17,161,526,3918,11063,128,-1
2020-05-11,66,550,26,219,552,4137,11613,119,-1
2020-05-12,67,658,9,139,561,4276,12271,129,-1
2020-05-13,68,659,14,222,575,4498,12930,131,-1
2020-05-14,69,680,18,134,593,4632,13610,138,-1
2020-05-15,70,606,20,204,613,4836,14216,136,-1
2020-05-16,71,724,19,201,632,5037,14940,148,-1
2020-05-17,72,637,19,144,651,5181,15577,157,-1
2020-05-17,72,637,19,144,651,5181,15577,155,-1
2020-05-18,73,718,25,191,676,5372,16295,164,-1
2020-05-19,74,641,27,193,703,5565,16936,176,-1
2020-05-20,75,777,27,247,730,5812,17713,176,-1
2020-05-21,76,644,23,273,753,6085,18357,175,-1
2020-05-22,77,802,36,254,789,6339,19159,172,-1
2020-05-23,78,1017,33,205,822,6544,20176,185,-1
2020-05-24,79,1001,34,292,856,6836,21177,193,-1
2020-05-25,80,800,22,262,878,7098,21977,205,-1
2020-05-26,81,1021,33,337,911,7435,22998,249,-1
2020-05-27,82,1101,27,293,938,7728,24099,227,-1
2020-05-28,83,1254,27,331,965,8059,25353,234,-1
2020-05-29,84,1324,35,276,1000,8335,26677,235,-1
2020-05-30,85,1548,37,158,1037,8493,28225,240,-1
2020-05-31,86,1139,25,1956,1062,10449,29364,243,-1
2020-06-01,87,1104,24,173,1086,10622,30468,289,-1
2020-06-02,88,1289,19,1286,1105,11908,31757,305,-1
2020-06-03,89,1500,25,840,1130,12748,33257,335,-1
2020-06-04,90,1709,14,290,1144,13038,34966,347,-1
2020-06-05,91,1459,1,600,1145,13638,36425,377,-1
